booking_id,lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status,rebooked
INNHG_101145,113.0,Online,0,92.94,2,1,05-01-2021,0,5,Not Canceled,
INNHG_101146,5.0,Online,1,149.0,2,0,05-01-2021,0,2,Not Canceled,
INNHG_101147,176.0,Online,1,80.75,2,2,05-01-2021,0,6,Not Canceled,
INNHG_101148,,Online,0,105.83,2,0,05-01-2021,0,4,Canceled,Yes
INNHG_101149,,Online,1,110.46,2,0,05-01-2021,0,3,Not Canceled,
INNHG_101150,4.0,Online,1,0.0,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101151,135.0,Online,1,99.0,2,0,05-01-2021,0,2,Not Canceled,
INNHG_101152,149.0,Online,0,122.04,2,2,05-01-2021,0,5,Not Canceled,
INNHG_101153,45.0,Offline,0,,2,0,05-01-2021,0,1,Not Canceled,
INNHG_101154,144.0,Offline,0,63.75,2,0,05-01-2021,0,5,Not Canceled,
INNHG_101155,113.0,Online,2,,2,1,05-01-2021,0,5,Not Canceled,
INNHG_101156,78.0,Online,0,130.2,1,1,05-01-2021,0,5,Canceled,No
INNHG_101157,88.0,Online,1,127.8,2,2,05-01-2021,0,5,Not Canceled,
INNHG_101158,,Offline,0,82.45,2,2,05-01-2021,0,5,Not Canceled,
INNHG_101159,162.0,Online,1,99.45,2,0,05-01-2021,0,4,Not Canceled,
INNHG_101160,4.0,Online,1,151.0,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101161,6.0,Offline,0,,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101162,135.0,Online,1,126.0,2,0,05-01-2021,0,2,Not Canceled,
INNHG_101163,142.0,Online,2,119.0,2,0,05-01-2021,0,5,Not Canceled,
INNHG_101164,156.0,Online,1,114.83,2,0,05-01-2021,1,4,Canceled,Yes
INNHG_101165,185.0,Online,1,90.95,2,0,05-01-2021,0,4,Canceled,No
INNHG_101166,89.0,Online,0,114.3,2,0,05-01-2021,0,3,Canceled,Yes
INNHG_101167,0.0,Online,0,159.0,2,0,05-01-2021,0,1,Not Canceled,
INNHG_101168,132.0,Online,0,,2,0,05-01-2021,0,4,Canceled,Yes
INNHG_101169,,Offline,0,87.3,2,0,05-01-2021,0,4,Not Canceled,
INNHG_101170,47.0,Online,0,134.1,2,0,05-01-2021,0,1,Canceled,No
INNHG_101171,85.0,Offline,0,86.36,3,0,05-01-2021,0,3,Not Canceled,
INNHG_101172,21.0,Online,1,139.0,2,0,05-01-2021,0,5,Not Canceled,
INNHG_101173,141.0,Offline,1,,2,2,05-01-2021,0,5,Not Canceled,
INNHG_101174,139.0,Offline,0,72.25,2,2,05-01-2021,0,5,Canceled,No
INNHG_101175,104.0,Online,3,146.7,3,0,05-01-2021,0,1,Not Canceled,
INNHG_101176,166.0,Online,0,80.75,2,0,05-01-2021,0,5,Canceled,Yes
INNHG_101177,125.0,Online,1,118.58,2,0,05-01-2021,0,4,Not Canceled,
INNHG_101178,85.0,Offline,0,,2,0,05-01-2021,0,3,Not Canceled,
INNHG_101179,145.0,Online,1,0.0,2,0,05-01-2021,0,0,Not Canceled,
INNHG_101180,20.0,Online,1,,2,0,05-01-2021,1,1,Not Canceled,
INNHG_101181,,Online,0,,3,0,05-01-2021,0,4,Not Canceled,
INNHG_101182,0.0,Online,1,135.0,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101183,189.0,Online,1,90.95,2,0,05-01-2021,0,4,Canceled,No
INNHG_101184,15.0,Online,1,,2,0,05-01-2021,0,3,Not Canceled,
INNHG_101185,83.0,Online,0,127.8,2,0,05-01-2021,0,5,Canceled,No
INNHG_101186,169.0,Online,2,167.45,2,0,05-01-2021,0,4,Canceled,No
INNHG_101187,,Online,1,137.13,3,1,05-01-2021,0,5,Canceled,Yes
INNHG_101188,4.0,Online,4,0.0,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101189,21.0,Online,1,139.0,2,0,05-01-2021,0,5,Not Canceled,
INNHG_101190,142.0,Online,1,136.85,3,0,05-01-2021,0,5,Not Canceled,
INNHG_101191,1.0,Online,1,99.33,1,0,05-01-2021,0,2,Not Canceled,
INNHG_101192,87.0,Online,1,166.85,3,0,05-01-2021,0,2,Not Canceled,
INNHG_101193,138.0,Offline,0,102.25,2,1,05-01-2021,0,5,Not Canceled,
INNHG_101194,19.0,Online,2,175.0,2,0,05-01-2021,1,4,Not Canceled,
INNHG_101195,22.0,Offline,0,85.0,2,0,05-01-2021,0,2,Not Canceled,
INNHG_101196,,Online,1,107.1,2,0,05-01-2021,0,2,Not Canceled,
INNHG_101197,108.0,Online,2,123.25,2,1,05-01-2021,0,5,Canceled,No
INNHG_101198,0.0,Online,0,79.0,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101199,160.0,Offline,1,96.9,3,0,05-01-2021,0,1,Not Canceled,
INNHG_101200,45.0,Online,1,134.1,2,0,05-01-2021,0,1,Not Canceled,
INNHG_101201,,Online,0,,1,0,05-01-2021,0,2,Canceled,No
INNHG_101202,0.0,Online,1,,1,0,05-01-2021,0,1,Not Canceled,
INNHG_101203,90.0,Online,1,130.5,2,0,05-01-2021,0,3,Not Canceled,
INNHG_101204,83.0,Online,1,123.3,2,0,05-01-2021,0,2,Not Canceled,
INNHG_101205,152.0,Online,0,119.28,2,1,05-01-2021,0,5,Canceled,No
INNHG_101206,90.0,Online,1,130.5,2,0,05-01-2021,0,3,Not Canceled,
INNHG_101207,,Online,0,119.28,2,1,05-01-2021,0,5,Canceled,Yes
INNHG_101208,,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101209,245.0,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101210,,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101211,245.0,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101212,72.0,Online,0,107.1,2,0,06-01-2021,0,1,Canceled,No
INNHG_101213,245.0,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101214,245.0,Online,0,,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101215,245.0,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101216,,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101217,245.0,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101218,245.0,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101219,,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101220,245.0,Online,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101221,151.0,Online,1,120.7,2,0,06-01-2021,0,4,Canceled,No
INNHG_101222,159.0,Online,1,106.74,2,2,06-01-2021,0,5,Canceled,No
INNHG_101223,73.0,Online,0,107.1,1,0,06-01-2021,0,2,Canceled,No
INNHG_101224,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101225,73.0,Online,0,149.4,3,0,06-01-2021,0,4,Canceled,No
INNHG_101226,,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101227,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101228,,Online,0,,2,0,06-01-2021,0,4,Canceled,No
INNHG_101229,135.0,Online,1,107.95,2,1,06-01-2021,0,4,Canceled,No
INNHG_101230,245.0,Offline,0,,1,2,06-01-2021,0,4,Canceled,No
INNHG_101231,,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101232,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101233,,Online,0,,2,0,06-01-2021,0,1,Canceled,No
INNHG_101234,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101235,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101236,27.0,Online,0,231.0,2,0,06-01-2021,0,2,Canceled,No
INNHG_101237,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101238,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101239,165.0,Online,0,108.04,2,2,06-01-2021,0,4,Canceled,No
INNHG_101240,,Online,1,123.25,2,0,06-01-2021,0,4,Canceled,No
INNHG_101241,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101242,245.0,Offline,0,,1,2,06-01-2021,0,4,Canceled,No
INNHG_101243,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101244,,Online,2,,2,0,06-01-2021,0,4,Canceled,No
INNHG_101245,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101246,,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101247,144.0,Online,0,97.75,2,0,06-01-2021,0,4,Canceled,No
INNHG_101248,133.0,Online,0,120.7,2,0,06-01-2021,0,4,Canceled,No
INNHG_101249,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101250,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101251,245.0,Offline,0,,1,2,06-01-2021,0,4,Canceled,No
INNHG_101252,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101253,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101254,151.0,Online,1,120.7,2,1,06-01-2021,0,4,Canceled,No
INNHG_101255,157.0,Online,0,,2,0,06-01-2021,0,4,Canceled,No
INNHG_101256,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101257,162.0,Online,1,130.05,3,0,06-01-2021,0,4,Canceled,Yes
INNHG_101258,,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101259,,Online,0,107.1,2,0,06-01-2021,0,1,Canceled,No
INNHG_101260,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101261,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101262,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101263,79.0,Online,0,129.96,1,1,06-01-2021,0,4,Canceled,No
INNHG_101264,95.0,Online,0,,2,0,06-01-2021,0,4,Canceled,No
INNHG_101265,164.0,Online,0,99.45,2,2,06-01-2021,0,4,Canceled,No
INNHG_101266,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101267,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101268,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101269,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101270,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101271,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101272,126.0,Online,0,97.75,2,0,06-01-2021,0,4,Canceled,No
INNHG_101273,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101274,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101275,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101276,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101277,245.0,Offline,0,,1,2,06-01-2021,0,4,Canceled,Yes
INNHG_101278,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101279,245.0,Offline,0,110.0,1,2,06-01-2021,0,4,Canceled,No
INNHG_101280,94.0,Online,1,146.7,3,2,08-01-2021,0,2,Not Canceled,
INNHG_101281,9.0,Online,2,,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101282,28.0,Online,2,143.45,2,2,08-01-2021,0,2,Not Canceled,
INNHG_101283,4.0,Online,1,139.0,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101284,0.0,Online,0,,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101285,4.0,Online,3,306.0,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101286,102.0,Online,1,99.0,2,2,08-01-2021,0,6,Not Canceled,
INNHG_101287,,Offline,2,72.25,2,2,08-01-2021,0,6,Not Canceled,
INNHG_101288,35.0,Online,0,135.9,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101289,39.0,Online,1,149.4,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101290,,Online,0,160.0,2,1,08-01-2021,1,2,Not Canceled,
INNHG_101291,25.0,Offline,0,85.0,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101292,165.0,Online,1,99.45,2,2,08-01-2021,0,2,Not Canceled,
INNHG_101293,27.0,Online,1,,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101294,22.0,Online,2,187.0,3,1,08-01-2021,0,2,Not Canceled,
INNHG_101295,,Online,1,,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101296,,Online,1,114.3,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101297,140.0,Online,2,195.3,2,0,08-01-2021,1,1,Not Canceled,
INNHG_101298,110.0,Online,1,114.3,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101299,4.0,Online,0,106.0,1,0,08-01-2021,0,1,Not Canceled,
INNHG_101300,102.0,Offline,0,72.25,2,2,08-01-2021,0,2,Not Canceled,
INNHG_101301,110.0,Online,1,114.3,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101302,,Offline,0,87.3,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101303,44.0,Online,0,75.0,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101304,1.0,Online,1,175.0,2,0,08-01-2021,1,1,Not Canceled,
INNHG_101305,15.0,Offline,2,118.15,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101306,2.0,Online,0,77.0,2,0,08-01-2021,1,1,Not Canceled,
INNHG_101307,128.0,Online,2,146.7,3,0,08-01-2021,0,2,Not Canceled,
INNHG_101308,,Online,1,,2,1,08-01-2021,1,2,Not Canceled,
INNHG_101309,118.0,Online,1,88.01,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101310,5.0,Online,2,139.0,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101311,,Online,2,146.7,3,0,08-01-2021,0,1,Not Canceled,
INNHG_101312,80.0,Online,3,,3,1,08-01-2021,0,2,Not Canceled,
INNHG_101313,32.0,Online,1,125.1,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101314,117.0,Online,1,,2,2,08-01-2021,0,3,Not Canceled,
INNHG_101315,150.0,Offline,0,96.9,3,1,08-01-2021,0,2,Not Canceled,
INNHG_101316,106.0,Offline,2,72.25,2,2,08-01-2021,0,6,Not Canceled,
INNHG_101317,,Online,2,,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101318,106.0,Offline,2,72.25,2,2,08-01-2021,0,6,Not Canceled,
INNHG_101319,193.0,Offline,0,93.58,2,2,08-01-2021,0,2,Not Canceled,
INNHG_101320,75.0,Online,1,115.5,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101321,117.0,Online,2,136.85,3,2,08-01-2021,0,3,Not Canceled,
INNHG_101322,,Online,2,96.05,2,2,08-01-2021,0,3,Not Canceled,
INNHG_101323,1.0,Online,2,184.5,3,2,08-01-2021,0,2,Not Canceled,
INNHG_101324,173.0,Online,2,94.5,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101325,155.0,Offline,0,,2,2,08-01-2021,0,3,Not Canceled,
INNHG_101326,,Online,2,114.3,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101327,126.0,Online,1,114.3,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101328,44.0,Online,0,75.0,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101329,65.0,Online,4,146.1,3,2,08-01-2021,0,4,Not Canceled,
INNHG_101330,0.0,Online,0,135.67,2,1,08-01-2021,0,2,Not Canceled,
INNHG_101331,185.0,Online,2,70.03,2,2,08-01-2021,0,2,Not Canceled,
INNHG_101332,30.0,Online,1,135.9,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101333,46.0,Online,2,112.5,1,0,08-01-2021,0,1,Not Canceled,
INNHG_101334,,Online,4,131.8,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101335,126.0,Online,1,123.3,2,0,08-01-2021,1,1,Not Canceled,
INNHG_101336,,Offline,0,75.0,1,1,08-01-2021,0,2,Not Canceled,
INNHG_101337,97.0,Offline,2,81.25,2,0,08-01-2021,0,2,Not Canceled,
INNHG_101338,146.0,Online,2,127.8,2,0,08-01-2021,0,1,Not Canceled,
INNHG_101339,52.0,Online,0,132.9,2,1,08-01-2021,0,2,Canceled,Yes
INNHG_101340,0.0,Online,0,265.0,2,2,08-01-2021,0,2,Canceled,No
INNHG_101341,,Online,0,114.3,2,0,08-01-2021,0,2,Canceled,Yes
INNHG_101342,3.0,Online,0,139.0,2,0,08-01-2021,0,2,Canceled,No
INNHG_101343,42.0,Online,0,150.3,3,0,08-01-2021,0,1,Canceled,No
INNHG_101344,173.0,Online,2,168.3,2,0,08-01-2021,0,1,Canceled,No
INNHG_101345,18.0,Online,0,166.0,2,1,08-01-2021,0,2,Canceled,No
INNHG_101346,181.0,Online,1,,2,0,08-01-2021,0,1,Canceled,No
INNHG_101347,52.0,Online,0,132.9,2,1,08-01-2021,0,2,Canceled,Yes
INNHG_101348,,Online,0,96.3,2,1,08-01-2021,0,2,Canceled,No
INNHG_101349,13.0,Online,0,,2,0,08-01-2021,0,1,Canceled,Yes
INNHG_101350,98.0,Online,0,,2,2,08-01-2021,0,3,Canceled,No
INNHG_101351,173.0,Online,0,80.75,2,2,08-01-2021,0,5,Canceled,No
INNHG_101352,15.0,Online,1,145.0,1,1,08-01-2021,0,2,Canceled,No
INNHG_101353,173.0,Online,0,85.5,2,0,08-01-2021,0,2,Canceled,No
